CountyName,State,Bedrooms,,price_index
Cook County,GA,1,2015-10-31,45405.0
Cook County,GA,1,2015-11-30,45736.0
Cook County,GA,1,2015-12-31,46041.0
Cook County,GA,1,2016-01-31,46407.0
Cook County,GA,1,2016-02-29,46563.0
Cook County,GA,1,2016-03-31,46688.0
Cook County,GA,1,2016-04-30,46997.0
Cook County,GA,1,2016-05-31,47481.0
Cook County,GA,1,2016-06-30,47741.0
Cook County,GA,1,2016-07-31,47904.0
Cook County,GA,1,2016-08-31,47866.0
Cook County,GA,1,2016-09-30,47872.0
Cook County,GA,1,2016-10-31,47844.0
Cook County,GA,1,2016-11-30,47730.0
Cook County,GA,1,2016-12-31,47554.0
Cook County,GA,1,2017-01-31,47505.0
Cook County,GA,1,2017-02-28,47549.0
Cook County,GA,1,2017-03-31,47602.0
Cook County,GA,1,2017-04-30,47351.0
Cook County,GA,1,2017-05-31,46789.0
Cook County,GA,1,2017-06-30,46235.0
Cook County,GA,1,2017-07-31,45735.0
Cook County,GA,1,2017-08-31,45418.0
Cook County,GA,1,2017-09-30,45089.0
Cook County,GA,1,2017-10-31,44795.0
Cook County,GA,1,2017-11-30,44380.0
Cook County,GA,1,2017-12-31,43683.0
Cook County,GA,1,2018-01-31,43136.0
Cook County,GA,1,2018-02-28,42858.0
Cook County,GA,1,2018-03-31,42552.0
Cook County,GA,1,2018-04-30,42025.0
Cook County,GA,1,2018-05-31,41543.0
Cook County,GA,1,2018-06-30,41535.0
Cook County,GA,1,2018-07-31,41594.0
Cook County,GA,1,2018-08-31,41638.0
Cook County,GA,1,2018-09-30,41535.0
Cook County,GA,1,2018-10-31,41367.0
Cook County,GA,1,2018-11-30,41273.0
Cook County,GA,1,2018-12-31,41751.0
Cook County,GA,1,2019-01-31,41916.0
Cook County,GA,1,2019-02-28,42032.0
Cook County,GA,1,2019-03-31,41809.0
Cook County,GA,1,2019-04-30,42222.0
Cook County,GA,1,2019-05-31,42119.0
Cook County,GA,1,2019-06-30,41879.0
Cook County,GA,1,2019-07-31,41435.0
Cook County,GA,1,2019-08-31,41504.0
Cook County,GA,1,2019-09-30,41316.0
Cook County,GA,1,2019-10-31,41057.0
Cook County,GA,1,2019-11-30,40366.0
Cook County,GA,1,2019-12-31,39622.0
Cook County,GA,1,2020-01-31,39237.0
Cook County,GA,1,2020-02-29,39303.0
Cook County,GA,1,2020-03-31,39609.0
Cook County,GA,1,2020-04-30,39588.0
Cook County,GA,1,2020-05-31,39784.0
Cook County,GA,1,2020-06-30,39988.0
Cook County,GA,1,2020-07-31,40353.0
Cook County,GA,1,2020-08-31,40431.0
Cook County,GA,1,2020-09-30,40779.0
Cook County,GA,1,2020-10-31,41260.0
Cook County,GA,1,2020-11-30,42097.0
Cook County,GA,1,2020-12-31,42893.0
Cook County,GA,1,2021-01-31,43602.0
Cook County,GA,1,2021-02-28,44077.0
Cook County,IL,1,2012-01-31,115561.62992125984
Cook County,IL,1,2012-02-29,113667.46875
Cook County,IL,1,2012-03-31,113749.8
Cook County,IL,1,2012-04-30,112720.90076335878
Cook County,IL,1,2012-05-31,112124.97709923664
Cook County,IL,1,2012-06-30,111277.2824427481
Cook County,IL,1,2012-07-31,110242.69465648854
Cook County,IL,1,2012-08-31,109135.44776119402
Cook County,IL,1,2012-09-30,108395.54814814815
Cook County,IL,1,2012-10-31,108217.98529411765
Cook County,IL,1,2012-11-30,108764.63970588235
Cook County,IL,1,2012-12-31,109164.10294117648
Cook County,IL,1,2013-01-31,109124.0291970803
Cook County,IL,1,2013-02-28,109705.16788321167
Cook County,IL,1,2013-03-31,109612.54347826086
Cook County,IL,1,2013-04-30,110114.23913043478
Cook County,IL,1,2013-05-31,111004.47857142857
Cook County,IL,1,2013-06-30,112136.35
Cook County,IL,1,2013-07-31,113416.59285714285
Cook County,IL,1,2013-08-31,114168.19014084506
Cook County,IL,1,2013-09-30,115216.14788732394
Cook County,IL,1,2013-10-31,116067.16197183098
Cook County,IL,1,2013-11-30,117402.35664335664
Cook County,IL,1,2013-12-31,117597.73426573427
Cook County,IL,1,2014-01-31,117628.9724137931
Cook County,IL,1,2014-02-28,118303.66206896551
Cook County,IL,1,2014-03-31,118784.69655172413
Cook County,IL,1,2014-04-30,118599.69178082192
Cook County,IL,1,2014-05-31,118847.5306122449
Cook County,IL,1,2014-06-30,119508.80272108843
Cook County,IL,1,2014-07-31,119948.68707482993
Cook County,IL,1,2014-08-31,119947.38775510204
Cook County,IL,1,2014-09-30,120191.70068027212
Cook County,IL,1,2014-10-31,120585.61224489796
Cook County,IL,1,2014-11-30,121421.61904761905
Cook County,IL,1,2014-12-31,122236.97278911565
Cook County,IL,1,2015-01-31,122859.53741496599
Cook County,IL,1,2015-02-28,123091.10204081633
Cook County,IL,1,2015-03-31,123534.3469387755
Cook County,IL,1,2015-04-30,124522.34013605442
Cook County,IL,1,2015-05-31,125373.65986394558
Cook County,IL,1,2015-06-30,125831.26530612246
Cook County,IL,1,2015-07-31,126236.19047619047
Cook County,IL,1,2015-08-31,126918.21768707484
Cook County,IL,1,2015-09-30,127557.58503401361
Cook County,IL,1,2015-10-31,127936.8918918919
Cook County,IL,1,2015-11-30,128243.37162162163
